骰子組合,基礎點數總和,發動牌型,發動牌型總和倍率,最終傷害
11356677,36,對子(x2) + 三連順(x2) + 三對子(x3),12,432
11356678,37,對子(x2) + 四連順(x3) + 雙對子(x2),12,444
11356688,38,對子(x2) + 三對子(x3),6,228
11356777,37,三同(x3) + 三連順(x2) + 南瓜(x2),12,444
11356778,38,對子(x2) + 四連順(x3) + 雙對子(x2),12,456
11356788,39,對子(x2) + 四連順(x3) + 雙對子(x2),12,468
11356888,40,三同(x3) + 南瓜(x2),6,240
11357777,38,四同(x5) + 三對子(x3) + 絕對秩序(x12),180,6840
11357778,39,三同(x3) + 南瓜(x2),6,234
11357788,40,對子(x2) + 三對子(x3),6,240
11357888,41,三同(x3) + 南瓜(x2),6,246
11358888,42,四同(x5) + 三對子(x3),15,630
11366666,35,五同(x12) + 三對子(x3),36,1260
11366667,36,四同(x5) + 三對子(x3),15,540
11366668,37,四同(x5) + 三對子(x3),15,555
11366677,37,三同(x3) + 三對子(x3),9,333
11366678,38,三同(x3) + 三連順(x2) + 南瓜(x2),12,456
11366688,39,三同(x3) + 三對子(x3),9,351
11366777,38,三同(x3) + 三對子(x3),9,342
11366778,39,對子(x2) + 三連順(x2) + 三對子(x3),12,468
11366788,40,對子(x2) + 三連順(x2) + 三對子(x3),12,480
11366888,41,三同(x3) + 三對子(x3),9,369
11367777,39,四同(x5) + 三對子(x3),15,585
11367778,40,三同(x3) + 三連順(x2) + 南瓜(x2),12,480
11367788,41,對子(x2) + 三連順(x2) + 三對子(x3),12,492
11367888,42,三同(x3) + 三連順(x2) + 南瓜(x2),12,504
11368888,43,四同(x5) + 三對子(x3),15,645
11377777,40,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,17280
11377778,41,四同(x5) + 三對子(x3),15,615
11377788,42,三同(x3) + 三對子(x3),9,378
11377888,43,三同(x3) + 三對子(x3),9,387
11378888,44,四同(x5) + 三對子(x3),15,660
11388888,45,五同(x12) + 三對子(x3),36,1620
11444444,26,六同(x25) + 豪華四對子(x20),500,13000
11444445,27,五同(x12) + 三對子(x3),36,972
11444446,28,五同(x12) + 三對子(x3),36,1008
11444447,29,五同(x12) + 三對子(x3),36,1044
11444448,30,五同(x12) + 三對子(x3),36,1080
11444455,28,四同(x5) + 豪華四對子(x20),100,2800
11444456,29,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,870
11444457,30,四同(x5) + 三對子(x3),15,450
11444458,31,四同(x5) + 三對子(x3),15,465
11444466,30,四同(x5) + 豪華四對子(x20),100,3000
11444467,31,四同(x5) + 三對子(x3),15,465
11444468,32,四同(x5) + 三對子(x3),15,480
11444477,32,四同(x5) + 豪華四對子(x20),100,3200
11444478,33,四同(x5) + 三對子(x3),15,495
11444488,34,四同(x5) + 豪華四對子(x20),100,3400
11444555,29,三同(x3) + 碰碰胡(x14),42,1218
11444556,30,三同(x3) + 三連順(x2) + 三對子(x3),18,540
11444557,31,三同(x3) + 三對子(x3),9,279
11444558,32,三同(x3) + 三對子(x3),9,288
11444566,31,三同(x3) + 三連順(x2) + 三對子(x3),18,558
11444567,32,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,864
11444568,33,三同(x3) + 三連順(x2) + 南瓜(x2),12,396
11444577,33,三同(x3) + 三對子(x3),9,297
11444578,34,三同(x3) + 南瓜(x2),6,204
11444588,35,三同(x3) + 三對子(x3),9,315
11444666,32,三同(x3) + 碰碰胡(x14),42,1344
11444667,33,三同(x3) + 三對子(x3),9,297
11444668,34,三同(x3) + 三對子(x3),9,306
11444677,34,三同(x3) + 三對子(x3),9,306
11444678,35,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,630
11444688,36,三同(x3) + 三對子(x3),9,324
11444777,35,三同(x3) + 碰碰胡(x14),42,1470
11444778,36,三同(x3) + 三對子(x3),9,324
11444788,37,三同(x3) + 三對子(x3),9,333
11444888,38,三同(x3) + 碰碰胡(x14),42,1596
11445555,30,四同(x5) + 豪華四對子(x20),100,3000
11445556,31,三同(x3) + 三連順(x2) + 三對子(x3),18,558
11445557,32,三同(x3) + 三對子(x3),9,288
11445558,33,三同(x3) + 三對子(x3),9,297
11445566,32,對子(x2) + 三連順(x2) + 經典四對子(x12),48,1536
11445567,33,對子(x2) + 四連順(x3) + 三對子(x3),18,594
11445568,34,對子(x2) + 三連順(x2) + 三對子(x3),12,408
11445577,34,對子(x2) + 經典四對子(x12),24,816
11445578,35,對子(x2) + 三對子(x3),6,210
11445588,36,對子(x2) + 經典四對子(x12),24,864
11445666,33,三同(x3) + 三連順(x2) + 三對子(x3),18,594
11445667,34,對子(x2) + 四連順(x3) + 三對子(x3),18,612
11445668,35,對子(x2) + 三連順(x2) + 三對子(x3),12,420
11445677,35,對子(x2) + 四連順(x3) + 三對子(x3),18,630
11445678,36,對子(x2) + 五連順(x4) + 雙對子(x2),16,576
11445688,37,對子(x2) + 三連順(x2) + 三對子(x3),12,444
11445777,36,三同(x3) + 三對子(x3),9,324
11445778,37,對子(x2) + 三對子(x3),6,222
11445788,38,對子(x2) + 三對子(x3),6,228
11445888,39,三同(x3) + 三對子(x3),9,351
11446666,34,四同(x5) + 豪華四對子(x20),100,3400
11446667,35,三同(x3) + 三對子(x3),9,315
11446668,36,三同(x3) + 三對子(x3),9,324
11446677,36,對子(x2) + 經典四對子(x12),24,864
11446678,37,對子(x2) + 三連順(x2) + 三對子(x3),12,444
11446688,38,對子(x2) + 經典四對子(x12),24,912
11446777,37,三同(x3) + 三對子(x3),9,333
11446778,38,對子(x2) + 三連順(x2) + 三對子(x3),12,456
11446788,39,對子(x2) + 三連順(x2) + 三對子(x3),12,468
11446888,40,三同(x3) + 三對子(x3),9,360
11447777,38,四同(x5) + 豪華四對子(x20),100,3800
11447778,39,三同(x3) + 三對子(x3),9,351
11447788,40,對子(x2) + 經典四對子(x12),24,960
11447888,41,三同(x3) + 三對子(x3),9,369
11448888,42,四同(x5) + 豪華四對子(x20),100,4200
11455555,31,五同(x12) + 三對子(x3),36,1116
11455556,32,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,960
11455557,33,四同(x5) + 三對子(x3),15,495
11455558,34,四同(x5) + 三對子(x3),15,510
11455566,33,三同(x3) + 三連順(x2) + 三對子(x3),18,594
11455567,34,三同(x3) + 四連順(x3) + 南瓜(x2),18,612
11455568,35,三同(x3) + 三連順(x2) + 南瓜(x2),12,420
11455577,35,三同(x3) + 三對子(x3),9,315
11455578,36,三同(x3) + 南瓜(x2),6,216
11455588,37,三同(x3) + 三對子(x3),9,333
11455666,34,三同(x3) + 三連順(x2) + 三對子(x3),18,612
11455667,35,對子(x2) + 四連順(x3) + 平胡(x10),60,2100
11455668,36,對子(x2) + 三連順(x2) + 三對子(x3),12,432
11455677,36,對子(x2) + 四連順(x3) + 三對子(x3),18,648
11455678,37,對子(x2) + 五連順(x4) + 雙對子(x2),16,592
11455688,38,對子(x2) + 三連順(x2) + 三對子(x3),12,456
11455777,37,三同(x3) + 三對子(x3),9,333
11455778,38,對子(x2) + 三對子(x3),6,228
11455788,39,對子(x2) + 三對子(x3),6,234
11455888,40,三同(x3) + 三對子(x3),9,360
11456666,35,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1050
11456667,36,三同(x3) + 四連順(x3) + 南瓜(x2),18,648
11456668,37,三同(x3) + 三連順(x2) + 南瓜(x2),12,444
11456677,37,對子(x2) + 四連順(x3) + 三對子(x3),18,666
11456678,38,對子(x2) + 五連順(x4) + 平胡(x10),80,3040
11456688,39,對子(x2) + 三連順(x2) + 三對子(x3),12,468
11456777,38,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1026
11456778,39,對子(x2) + 五連順(x4) + 雙對子(x2),16,624
11456788,40,對子(x2) + 五連順(x4) + 雙對子(x2),16,640
11456888,41,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,738
11457777,39,四同(x5) + 三對子(x3),15,585
11457778,40,三同(x3) + 南瓜(x2),6,240
11457788,41,對子(x2) + 三對子(x3),6,246
11457888,42,三同(x3) + 南瓜(x2),6,252
11458888,43,四同(x5) + 三對子(x3),15,645
11466666,36,五同(x12) + 三對子(x3),36,1296
11466667,37,四同(x5) + 三對子(x3),15,555
11466668,38,四同(x5) + 三對子(x3),15,570
11466677,38,三同(x3) + 三對子(x3),9,342
11466678,39,三同(x3) + 三連順(x2) + 南瓜(x2),12,468
11466688,40,三同(x3) + 三對子(x3),9,360
11466777,39,三同(x3) + 三對子(x3),9,351
11466778,40,對子(x2) + 三連順(x2) + 三對子(x3),12,480
11466788,41,對子(x2) + 三連順(x2) + 三對子(x3),12,492
11466888,42,三同(x3) + 三對子(x3),9,378
11467777,40,四同(x5) + 三對子(x3),15,600
11467778,41,三同(x3) + 三連順(x2) + 南瓜(x2),12,492
11467788,42,對子(x2) + 三連順(x2) + 三對子(x3),12,504
11467888,43,三同(x3) + 三連順(x2) + 南瓜(x2),12,516
11468888,44,四同(x5) + 三對子(x3),15,660
11477777,41,五同(x12) + 三對子(x3),36,1476
11477778,42,四同(x5) + 三對子(x3),15,630
11477788,43,三同(x3) + 三對子(x3),9,387
11477888,44,三同(x3) + 三對子(x3),9,396
11478888,45,四同(x5) + 三對子(x3),15,675
11488888,46,五同(x12) + 三對子(x3),36,1656
11555555,32,六同(x25) + 豪華四對子(x20) + 絕對秩序(x12),6000,192000
11555556,33,五同(x12) + 三對子(x3),36,1188
11555557,34,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,14688
11555558,35,五同(x12) + 三對子(x3),36,1260
11555566,34,四同(x5) + 豪華四對子(x20),100,3400
11555567,35,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1050
11555568,36,四同(x5) + 三對子(x3),15,540
11555577,36,四同(x5) + 豪華四對子(x20) + 絕對秩序(x12),1200,43200
11555578,37,四同(x5) + 三對子(x3),15,555
11555588,38,四同(x5) + 豪華四對子(x20),100,3800
11555666,35,三同(x3) + 碰碰胡(x14),42,1470
11555667,36,三同(x3) + 三連順(x2) + 三對子(x3),18,648
11555668,37,三同(x3) + 三對子(x3),9,333
11555677,37,三同(x3) + 三連順(x2) + 三對子(x3),18,666
11555678,38,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1026
11555688,39,三同(x3) + 三對子(x3),9,351
11555777,38,三同(x3) + 碰碰胡(x14) + 絕對秩序(x12),504,19152
11555778,39,三同(x3) + 三對子(x3),9,351
11555788,40,三同(x3) + 三對子(x3),9,360
11555888,41,三同(x3) + 碰碰胡(x14),42,1722
11556666,36,四同(x5) + 豪華四對子(x20),100,3600
11556667,37,三同(x3) + 三連順(x2) + 三對子(x3),18,666
11556668,38,三同(x3) + 三對子(x3),9,342
11556677,38,對子(x2) + 三連順(x2) + 經典四對子(x12),48,1824
11556678,39,對子(x2) + 四連順(x3) + 三對子(x3),18,702
11556688,40,對子(x2) + 經典四對子(x12),24,960
11556777,39,三同(x3) + 三連順(x2) + 三對子(x3),18,702
11556778,40,對子(x2) + 四連順(x3) + 三對子(x3),18,720
11556788,41,對子(x2) + 四連順(x3) + 三對子(x3),18,738
11556888,42,三同(x3) + 三對子(x3),9,378
11557777,40,四同(x5) + 豪華四對子(x20) + 絕對秩序(x12),1200,48000
11557778,41,三同(x3) + 三對子(x3),9,369
11557788,42,對子(x2) + 經典四對子(x12),24,1008
11557888,43,三同(x3) + 三對子(x3),9,387
11558888,44,四同(x5) + 豪華四對子(x20),100,4400
11566666,37,五同(x12) + 三對子(x3),36,1332
11566667,38,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1140
11566668,39,四同(x5) + 三對子(x3),15,585
11566677,39,三同(x3) + 三連順(x2) + 三對子(x3),18,702
11566678,40,三同(x3) + 四連順(x3) + 南瓜(x2),18,720
11566688,41,三同(x3) + 三對子(x3),9,369
11566777,40,三同(x3) + 三連順(x2) + 三對子(x3),18,720
11566778,41,對子(x2) + 四連順(x3) + 平胡(x10),60,2460
11566788,42,對子(x2) + 四連順(x3) + 三對子(x3),18,756
11566888,43,三同(x3) + 三對子(x3),9,387
11567777,41,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1230
11567778,42,三同(x3) + 四連順(x3) + 南瓜(x2),18,756
11567788,43,對子(x2) + 四連順(x3) + 三對子(x3),18,774
11567888,44,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,1188
11568888,45,四同(x5) + 三對子(x3),15,675
11577777,42,五同(x12) + 三對子(x3) + 絕對秩序(x12),432,18144
11577778,43,四同(x5) + 三對子(x3),15,645
11577788,44,三同(x3) + 三對子(x3),9,396
11577888,45,三同(x3) + 三對子(x3),9,405
11578888,46,四同(x5) + 三對子(x3),15,690
11588888,47,五同(x12) + 三對子(x3),36,1692
11666666,38,六同(x25) + 豪華四對子(x20),500,19000
11666667,39,五同(x12) + 三對子(x3),36,1404
11666668,40,五同(x12) + 三對子(x3),36,1440
11666677,40,四同(x5) + 豪華四對子(x20),100,4000
11666678,41,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1230
11666688,42,四同(x5) + 豪華四對子(x20),100,4200
11666777,41,三同(x3) + 碰碰胡(x14),42,1722
11666778,42,三同(x3) + 三連順(x2) + 三對子(x3),18,756
11666788,43,三同(x3) + 三連順(x2) + 三對子(x3),18,774
11666888,44,三同(x3) + 碰碰胡(x14),42,1848
11667777,42,四同(x5) + 豪華四對子(x20),100,4200
11667778,43,三同(x3) + 三連順(x2) + 三對子(x3),18,774
11667788,44,對子(x2) + 三連順(x2) + 經典四對子(x12),48,2112
11667888,45,三同(x3) + 三連順(x2) + 三對子(x3),18,810
11668888,46,四同(x5) + 豪華四對子(x20),100,4600
11677777,43,五同(x12) + 三對子(x3),36,1548
11677778,44,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1320
11677788,45,三同(x3) + 三連順(x2) + 三對子(x3),18,810
11677888,46,三同(x3) + 三連順(x2) + 三對子(x3),18,828
11678888,47,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,1410
11688888,48,五同(x12) + 三對子(x3),36,1728
11777777,44,六同(x25) + 豪華四對子(x20) + 絕對秩序(x12),6000,264000
11777778,45,五同(x12) + 三對子(x3),36,1620
11777788,46,四同(x5) + 豪華四對子(x20),100,4600
11777888,47,三同(x3) + 碰碰胡(x14),42,1974
11778888,48,四同(x5) + 豪華四對子(x20),100,4800
11788888,49,五同(x12) + 三對子(x3),36,1764
11888888,50,六同(x25) + 豪華四對子(x20) + 兩極(x60),30000,1500000
12222222,15,七同(x60) + 白馬(x14),840,12600
12222223,16,六同(x25) + 三連順(x2) + 雙三同(x11),550,8800
12222224,17,六同(x25) + 雙三同(x11),275,4675
12222225,18,六同(x25) + 雙三同(x11),275,4950
12222226,19,六同(x25) + 雙三同(x11),275,5225
12222227,20,六同(x25) + 雙三同(x11),275,5500
12222228,21,六同(x25) + 雙三同(x11),275,5775
12222233,17,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1224
12222234,18,五同(x12) + 四連順(x3) + 順碰交響曲(x3),108,1944
12222235,19,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1368
12222236,20,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1440
12222237,21,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1512
12222238,22,五同(x12) + 三連順(x2) + 順碰交響曲(x3),72,1584
12222244,19,五同(x12) + 三對子(x3),36,684
12222245,20,五同(x12) + 南瓜(x2),24,480
12222246,21,五同(x12) + 南瓜(x2),24,504
12222247,22,五同(x12) + 南瓜(x2),24,528
12222248,23,五同(x12) + 南瓜(x2) + 二進位(x3),72,1656
12222255,21,五同(x12) + 三對子(x3),36,756
12222256,22,五同(x12) + 南瓜(x2),24,528
12222257,23,五同(x12) + 南瓜(x2),24,552
12222258,24,五同(x12) + 南瓜(x2),24,576
12222266,23,五同(x12) + 三對子(x3),36,828
12222267,24,五同(x12) + 南瓜(x2),24,576
12222268,25,五同(x12) + 南瓜(x2),24,600
12222277,25,五同(x12) + 三對子(x3),36,900
12222278,26,五同(x12) + 南瓜(x2),24,624
12222288,27,五同(x12) + 三對子(x3),36,972
12222333,18,四同(x5) + 三連順(x2) + 白馬(x14),140,2520
12222334,19,四同(x5) + 四連順(x3) + 平胡(x10),150,2850
12222335,20,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,600
12222336,21,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,630
12222337,22,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,660
12222338,23,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,690
12222344,20,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,900
12222345,21,四同(x5) + 五連順(x4) + 順碰交響曲(x3),60,1260
12222346,22,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,990
12222347,23,四同(x5) + 四連順(x3) + 順碰交響曲(x3),45,1035
12222348,24,四同(x5) + 四連順(x3) + 順碰交響曲(x3) + 二進位(x3),135,3240
12222355,22,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,660
12222356,23,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,690
12222357,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3) + 質數(x3),90,2160
12222358,25,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,750
12222366,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,720
12222367,25,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,750
12222368,26,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,780
12222377,26,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,780
12222378,27,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,810
12222388,28,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,840
12222444,21,四同(x5) + 白馬(x14),70,1470
12222445,22,四同(x5) + 三對子(x3),15,330
12222446,23,四同(x5) + 三對子(x3),15,345
12222447,24,四同(x5) + 三對子(x3),15,360
12222448,25,四同(x5) + 三對子(x3) + 二進位(x3),45,1125
12222455,23,四同(x5) + 三對子(x3),15,345
12222456,24,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,720
12222457,25,四同(x5) + 雙對子(x2),10,250
12222458,26,四同(x5) + 雙對子(x2) + 二進位(x3),30,780
12222466,25,四同(x5) + 三對子(x3),15,375
12222467,26,四同(x5) + 雙對子(x2),10,260
12222468,27,四同(x5) + 雙對子(x2) + 二進位(x3),30,810
12222477,27,四同(x5) + 三對子(x3),15,405
12222478,28,四同(x5) + 雙對子(x2) + 二進位(x3),30,840
12222488,29,四同(x5) + 三對子(x3) + 二進位(x3),45,1305
12222555,24,四同(x5) + 白馬(x14),70,1680
12222556,25,四同(x5) + 三對子(x3),15,375
12222557,26,四同(x5) + 三對子(x3),15,390
12222558,27,四同(x5) + 三對子(x3),15,405
12222566,26,四同(x5) + 三對子(x3),15,390
12222567,27,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,810
12222568,28,四同(x5) + 雙對子(x2),10,280
12222577,28,四同(x5) + 三對子(x3),15,420
12222578,29,四同(x5) + 雙對子(x2),10,290
12222588,30,四同(x5) + 三對子(x3),15,450
12222666,27,四同(x5) + 白馬(x14),70,1890
12222667,28,四同(x5) + 三對子(x3),15,420
12222668,29,四同(x5) + 三對子(x3),15,435
12222677,29,四同(x5) + 三對子(x3),15,435
12222678,30,四同(x5) + 三連順(x2) + 順碰交響曲(x3),30,900
12222688,31,四同(x5) + 三對子(x3),15,465
12222777,30,四同(x5) + 白馬(x14),70,2100
12222778,31,四同(x5) + 三對子(x3),15,465
12222788,32,四同(x5) + 三對子(x3) + 自然對數(x12),180,5760
12222888,33,四同(x5) + 白馬(x14),70,2310
12223333,19,四同(x5) + 三連順(x2) + 白馬(x14),140,2660
12223334,20,三同(x3) + 四連順(x3) + 雙三同(x11),99,1980
12223335,21,三同(x3) + 三連順(x2) + 雙三同(x11),66,1386
12223336,22,三同(x3) + 三連順(x2) + 雙三同(x11),66,1452
12223337,23,三同(x3) + 三連順(x2) + 雙三同(x11),66,1518
12223338,24,三同(x3) + 三連順(x2) + 雙三同(x11),66,1584
12223344,21,三同(x3) + 四連順(x3) + 三龍會(x10),90,1890
12223345,22,三同(x3) + 五連順(x4) + 平胡(x10),120,2640
12223346,23,三同(x3) + 四連順(x3) + 雙三連順(x6),54,1242
12223347,24,三同(x3) + 四連順(x3) + 雙三連順(x6),54,1296
12223348,25,三同(x3) + 四連順(x3) + 雙三連順(x6) + 二進位(x3),162,4050
12223355,23,三同(x3) + 三連順(x2) + 三對子(x3),18,414
12223356,24,三同(x3) + 三連順(x2) + 南瓜(x2),12,288
12223357,25,三同(x3) + 三連順(x2) + 南瓜(x2) + 質數(x3),36,900
12223358,26,三同(x3) + 三連順(x2) + 南瓜(x2),12,312
12223366,25,三同(x3) + 三連順(x2) + 三對子(x3),18,450
12223367,26,三同(x3) + 三連順(x2) + 南瓜(x2),12,312
12223368,27,三同(x3) + 三連順(x2) + 南瓜(x2),12,324
12223377,27,三同(x3) + 三連順(x2) + 三對子(x3),18,486
12223378,28,三同(x3) + 三連順(x2) + 南瓜(x2),12,336
12223388,29,三同(x3) + 三連順(x2) + 三對子(x3),18,522
12223444,22,三同(x3) + 四連順(x3) + 雙三同(x11),99,2178
12223445,23,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,828
12223446,24,三同(x3) + 四連順(x3) + 南瓜(x2),18,432
12223447,25,三同(x3) + 四連順(x3) + 南瓜(x2),18,450
12223448,26,三同(x3) + 四連順(x3) + 南瓜(x2) + 二進位(x3),54,1404
12223455,24,三同(x3) + 五連順(x4) + 順碰交響曲(x3),36,864
12223456,25,三同(x3) + 六連順(x7) + 平胡(x10),210,5250
12223457,26,三同(x3) + 五連順(x4) + 順碰交響曲(x3) + 質數(x3),108,2808
12223458,27,三同(x3) + 五連順(x4) + 順碰交響曲(x3) + 二進位(x3),108,2916
12223466,26,三同(x3) + 四連順(x3) + 南瓜(x2),18,468
12223467,27,三同(x3) + 四連順(x3),9,243
12223468,28,三同(x3) + 四連順(x3) + 二進位(x3),27,756
12223477,28,三同(x3) + 四連順(x3) + 南瓜(x2),18,504
12223478,29,三同(x3) + 四連順(x3) + 二進位(x3),27,783
12223488,30,三同(x3) + 四連順(x3) + 南瓜(x2) + 二進位(x3),54,1620
12223555,25,三同(x3) + 三連順(x2) + 雙三同(x11),66,1650
12223556,26,三同(x3) + 三連順(x2) + 南瓜(x2),12,312
12223557,27,三同(x3) + 三連順(x2) + 南瓜(x2) + 質數(x3),36,972
12223558,28,三同(x3) + 三連順(x2) + 南瓜(x2),12,336
12223566,27,三同(x3) + 三連順(x2) + 南瓜(x2),12,324
12223567,28,三同(x3) + 三連順(x2) + 平胡(x10) + 質數(x3),180,5040
12223568,29,三同(x3) + 三連順(x2),6,174
12223577,29,三同(x3) + 三連順(x2) + 南瓜(x2) + 質數(x3),36,1044
12223578,30,三同(x3) + 三連順(x2) + 質數(x3),18,540
12223588,31,三同(x3) + 三連順(x2) + 南瓜(x2),12,372
12223666,28,三同(x3) + 三連順(x2) + 雙三同(x11),66,1848
12223667,29,三同(x3) + 三連順(x2) + 南瓜(x2),12,348
12223668,30,三同(x3) + 三連順(x2) + 南瓜(x2),12,360
12223677,30,三同(x3) + 三連順(x2) + 南瓜(x2),12,360
12223678,31,三同(x3) + 三連順(x2) + 平胡(x10),60,1860
12223688,32,三同(x3) + 三連順(x2) + 南瓜(x2),12,384
12223777,31,三同(x3) + 三連順(x2) + 雙三同(x11),66,2046
12223778,32,三同(x3) + 三連順(x2) + 南瓜(x2),12,384
12223788,33,三同(x3) + 三連順(x2) + 南瓜(x2) + 自然對數(x12),144,4752
12223888,34,三同(x3) + 三連順(x2) + 雙三同(x11),66,2244
12224444,23,四同(x5) + 白馬(x14),70,1610
12224445,24,三同(x3) + 雙三同(x11),33,792
12224446,25,三同(x3) + 雙三同(x11),33,825
12224447,26,三同(x3) + 雙三同(x11),33,858
12224448,27,三同(x3) + 雙三同(x11) + 二進位(x3),99,2673
12224455,25,三同(x3) + 三對子(x3),9,225
12224456,26,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,468
12224457,27,三同(x3) + 南瓜(x2),6,162
12224458,28,三同(x3) + 南瓜(x2) + 二進位(x3),18,504
12224466,27,三同(x3) + 三對子(x3),9,243
12224467,28,三同(x3) + 南瓜(x2),6,168
12224468,29,三同(x3) + 南瓜(x2) + 二進位(x3),18,522
12224477,29,三同(x3) + 三對子(x3),9,261
12224478,30,三同(x3) + 南瓜(x2) + 二進位(x3),18,540
12224488,31,三同(x3) + 三對子(x3) + 二進位(x3),27,837
12224555,26,三同(x3) + 雙三同(x11),33,858
12224556,27,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,486
12224557,28,三同(x3) + 南瓜(x2),6,168
12224558,29,三同(x3) + 南瓜(x2) + 二進位(x3),18,522
12224566,28,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,504
12224567,29,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,783
12224568,30,三同(x3) + 三連順(x2) + 順碰交響曲(x3) + 二進位(x3),54,1620
12224577,30,三同(x3) + 南瓜(x2),6,180
12224578,31,三同(x3) + 二進位(x3),9,279
12224588,32,三同(x3) + 南瓜(x2) + 二進位(x3),18,576
12224666,29,三同(x3) + 雙三同(x11),33,957
12224667,30,三同(x3) + 南瓜(x2),6,180
12224668,31,三同(x3) + 南瓜(x2) + 二進位(x3),18,558
12224677,31,三同(x3) + 南瓜(x2),6,186
12224678,32,三同(x3) + 三連順(x2) + 順碰交響曲(x3) + 二進位(x3),54,1728
12224688,33,三同(x3) + 南瓜(x2) + 二進位(x3),18,594
12224777,32,三同(x3) + 雙三同(x11),33,1056
12224778,33,三同(x3) + 南瓜(x2) + 二進位(x3),18,594
12224788,34,三同(x3) + 南瓜(x2) + 自然對數(x12),72,2448
12224888,35,三同(x3) + 雙三同(x11) + 二進位(x3),99,3465
12225555,27,四同(x5) + 白馬(x14),70,1890
12225556,28,三同(x3) + 雙三同(x11),33,924
12225557,29,三同(x3) + 雙三同(x11),33,957
12225558,30,三同(x3) + 雙三同(x11),33,990
12225566,29,三同(x3) + 三對子(x3),9,261
12225567,30,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,540
12225568,31,三同(x3) + 南瓜(x2),6,186
12225577,31,三同(x3) + 三對子(x3),9,279
12225578,32,三同(x3) + 南瓜(x2),6,192
12225588,33,三同(x3) + 三對子(x3),9,297
12225666,30,三同(x3) + 雙三同(x11),33,990
12225667,31,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,558
12225668,32,三同(x3) + 南瓜(x2),6,192
12225677,32,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,576
12225678,33,三同(x3) + 四連順(x3) + 順碰交響曲(x3),27,891
12225688,34,三同(x3) + 南瓜(x2),6,204
12225777,33,三同(x3) + 雙三同(x11),33,1089
12225778,34,三同(x3) + 南瓜(x2),6,204
12225788,35,三同(x3) + 南瓜(x2) + 自然對數(x12),72,2520
12225888,36,三同(x3) + 雙三同(x11),33,1188
12226666,31,四同(x5) + 白馬(x14),70,2170
12226667,32,三同(x3) + 雙三同(x11),33,1056
12226668,33,三同(x3) + 雙三同(x11),33,1089
12226677,33,三同(x3) + 三對子(x3),9,297
12226678,34,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,612
12226688,35,三同(x3) + 三對子(x3),9,315
12226777,34,三同(x3) + 雙三同(x11),33,1122
12226778,35,三同(x3) + 三連順(x2) + 順碰交響曲(x3),18,630
12226788,36,三同(x3) + 三連順(x2) + 順碰交響曲(x3) + 自然對數(x12),216,7776
12226888,37,三同(x3) + 雙三同(x11),33,1221
12227777,35,四同(x5) + 白馬(x14),70,2450
